league,time_stamp
nfl,2020-11-29T01:22:16.523775241Z
nfl,2020-11-29T02:09:55.303113479Z
nfl,2020-11-29T02:10:17.563817083Z
nfl,2020-11-29T02:17:33.262119704Z
nfl,2020-11-29T02:18:27.541639335Z
nfl,2020-11-29T03:18:28.500595463Z
nfl,2020-11-29T04:19:41.445021738Z
nfl,2020-11-29T05:18:28.331244955Z
nfl,2020-11-29T06:18:27.891051428Z
nfl,2020-11-29T07:18:28.00448035Z
nfl,2020-11-29T08:18:27.901805983Z
nfl,2020-11-29T09:18:28.089722201Z
nfl,2020-11-29T10:18:28.35245276Z
nfl,2020-11-29T11:18:28.44561287Z
nfl,2020-11-29T12:18:28.148125277Z
nfl,2020-11-29T13:18:28.510385334Z
nfl,2020-11-29T14:18:28.148643635Z
nfl,2020-11-29T15:18:28.160764315Z
nfl,2020-11-29T16:18:28.20252847Z
nfl,2020-11-29T17:18:27.880289329Z
nfl,2020-11-29T18:18:28.359671858Z
nfl,2020-11-29T19:18:28.351765194Z
nfl,2020-11-29T20:18:28.010585612Z
nfl,2020-11-29T21:18:28.708635026Z
nfl,2020-11-29T22:18:27.87379104Z
nfl,2020-11-29T23:18:28.393759949Z
nfl,2020-11-30T00:18:28.252019082Z
nfl,2020-11-30T01:18:28.27260592Z
nfl,2020-11-30T02:18:28.261573157Z
nfl,2020-11-30T03:18:31.551746641Z
nfl,2020-11-30T04:18:28.133774739Z
nfl,2020-11-30T05:18:28.432607727Z
nfl,2020-11-30T06:18:28.408353761Z
nfl,2020-11-30T07:18:28.381441121Z
nfl,2020-11-30T08:18:28.19551456Z
nfl,2020-11-30T09:18:28.20288405Z
nfl,2020-11-30T10:18:28.062415246Z
nfl,2020-11-30T11:18:28.372655573Z
nfl,2020-11-30T12:18:28.31750296Z
nfl,2020-11-30T13:18:28.0362735Z
nfl,2020-11-30T14:18:28.41147941Z
nfl,2020-11-30T15:18:28.054006226Z
nfl,2020-11-30T16:18:28.414430228Z
nfl,2020-11-30T17:18:28.098880115Z
nfl,2020-11-30T18:18:28.608648049Z
nfl,2020-11-30T19:18:28.297183247Z
nfl,2020-11-30T20:18:28.043238933Z
nfl,2020-11-30T21:18:28.444711637Z
nfl,2020-11-30T22:18:28.117945235Z
nfl,2020-11-30T23:18:28.044259698Z
nfl,2020-12-01T00:18:28.135397361Z
nfl,2020-12-01T01:18:28.262072678Z
nfl,2020-12-01T02:18:28.240241382Z
nfl,2020-12-01T03:18:28.472649865Z
nfl,2020-12-01T04:18:28.398787505Z
nfl,2020-12-01T05:18:28.635270087Z
nfl,2020-12-01T06:18:28.396710539Z
nfl,2020-12-01T07:18:28.253935874Z
nfl,2020-12-01T08:18:28.189649262Z
nfl,2020-12-01T09:18:28.370582531Z
nfl,2020-12-01T10:18:28.298518731Z
nfl,2020-12-01T11:18:28.332607451Z
nfl,2020-12-01T12:18:28.392365443Z
nfl,2020-12-01T13:18:28.399150646Z
nfl,2020-12-01T14:18:28.115432661Z
nfl,2020-12-01T15:18:28.450778452Z
nfl,2020-12-01T16:18:28.407794605Z
nfl,2020-12-01T17:18:28.06802586Z
nfl,2020-12-01T18:18:28.084252245Z
nfl,2020-12-01T19:18:28.046588904Z
nfl,2020-12-01T20:18:28.314917731Z
nfl,2020-12-01T21:18:28.27682685Z
nfl,2020-12-01T22:18:28.143109876Z
nfl,2020-12-01T23:18:28.050987737Z
nfl,2020-12-02T00:18:28.420973327Z
